Philippines
109581085
71.23

Date		New Cases	Total Cases	New Deaths	TotalDeaths
2020-01-30	1		1		0		0
2020-01-31	0		1		0		0
2020-02-01	0		1		0		0
2020-02-02	1		2		1		1
2020-02-03	0		2		0		1
2020-02-04	0		2		0		1
2020-02-05	0		2		0		1
2020-02-06	0		2		0		1
2020-02-07	1		3		0		1
2020-02-08	0		3		0		1
2020-02-09	0		3		0		1
2020-02-10	0		3		0		1
2020-02-11	0		3		0		1
2020-02-12	0		3		0		1
2020-02-13	0		3		0		1
2020-02-14	0		3		0		1
2020-02-15	0		3		0		1
2020-02-16	0		3		0		1
2020-02-17	0		3		0		1
2020-02-18	0		3		0		1
2020-02-19	0		3		0		1
2020-02-20	0		3		0		1
2020-02-21	0		3		0		1
2020-02-22	0		3		0		1
2020-02-23	0		3		0		1
2020-02-24	0		3		0		1
2020-02-25	0		3		0		1
2020-02-26	0		3		0		1
2020-02-27	0		3		0		1
2020-02-28	0		3		0		1
2020-02-29	0		3		0		1
2020-03-01	0		3		0		1
2020-03-02	0		3		0		1
2020-03-03	0		3		0		1
2020-03-04	0		3		0		1
2020-03-05	0		3		0		1
2020-03-06	2		5		0		1
2020-03-07	1		6		0		1
2020-03-08	4		10		0		1
2020-03-09	10		20		0		1
2020-03-10	13		33		0		1
2020-03-11	16		49		0		1
2020-03-12	3		52		1		2
2020-03-13	12		64		3		5
2020-03-14	47		111		3		8
2020-03-15	29		140		3		11
2020-03-16	2		142		1		12
2020-03-17	45		187		0		12
2020-03-18	15		202		7		19
2020-03-19	15		217		-2		17
2020-03-20	13		230		1		18
2020-03-21	77		307		1		19
2020-03-22	73		380		6		25
2020-03-23	82		462		8		33
2020-03-24	90		552		2		35
2020-03-25	84		636		3		38
2020-03-26	71		707		7		45
2020-03-27	96		803		9		54
2020-03-28	272		1075		14		68
2020-03-29	343		1418		3		71
2020-03-30	128		1546		7		78
2020-03-31	538		2084		10		88
2020-04-01	227		2311		8		96
2020-04-02	322		2633		11		107
2020-04-03	385		3018		29		136
2020-04-04	76		3094		8		144
2020-04-05	152		3246		8		152
2020-04-06	414		3660		11		163
2020-04-07	104		3764		14		177
2020-04-08	106		3870		5		182
2020-04-09	206		4076		21		203
2020-04-10	119		4195		18		221
2020-04-11	233		4428		26		247
2020-04-12	220		4648		50		297
2020-04-13	284		4932		18		315
2020-04-14	291		5223		20		335
2020-04-15	230		5453		14		349
2020-04-16	207		5660		13		362
2020-04-17	218		5878		25		387
2020-04-18	209		6087		10		397
2020-04-19	172		6259		12		409
2020-04-20	200		6459		19		428
2020-04-21	140		6599		9		437
2020-04-22	111		6710		9		446
2020-04-23	271		6981		16		462
2020-04-24	211		7192		15		477
2020-04-25	102		7294		17		494
2020-04-26	285		7579		7		501
2020-04-27	198		7777		10		511
2020-04-28	181		7958		19		530
2020-04-29	254		8212		28		558
2020-04-30	276		8488		10		568
2020-05-01	284		8772		11		579
2020-05-02	156		8928		24		603
2020-05-03	295		9223		4		607
2020-05-04	262		9485		16		623
2020-05-05	199		9684		14		637
2020-05-06	320		10004		21		658
2020-05-07	339		10343		27		685
2020-05-08	120		10463		11		696
2020-05-09	147		10610		8		704
2020-05-10	184		10794		15		719
2020-05-11	292		11086		7		726
2020-05-12	264		11350		25		751
2020-05-13	268		11618		21		772
2020-05-14	258		11876		18		790
2020-05-15	215		12091		16		806
2020-05-16	214		12305		11		817
2020-05-17	208		12513		7		824
2020-05-18	205		12718		7		831
2020-05-19	224		12942		6		837
2020-05-20	279		13221		5		842
2020-05-21	213		13434		4		846
2020-05-22	163		13597		11		857
2020-05-23	180		13777		6		863
2020-05-24	258		14035		5		868
2020-05-25	284		14319		5		873
2020-05-26	350		14669		13		886
2020-05-27	380		15049		18		904
2020-05-28	539		15588		17		921
2020-05-29	1046		16634		21		942
2020-05-30	590		17224		8		950
2020-05-31	862		18086		7		957
2020-06-01	552		18638		3		960
2020-06-02	359		18997		6		966
2020-06-03	751		19748		8		974
2020-06-04	634		20382		10		984
2020-06-05	244		20626		3		987
2020-06-06	714		21340		7		994
2020-06-07	555		21895		9		1003
2020-06-08	579		22474		8		1011
2020-06-09	518		22992		6		1017
2020-06-10	740		23732		10		1027
2020-06-11	443		24175		9		1036
2020-06-12	612		24787		16		1052
2020-06-13	605		25392		22		1074
2020-06-14	538		25930		14		1088
2020-06-15	490		26420		10		1098
2020-06-16	361		26781		5		1103
2020-06-17	457		27238		5		1108
2020-06-18	561		27799		8		1116
2020-06-19	660		28459		14		1130
2020-06-20	941		29400		20		1150
2020-06-21	652		30052		19		1169
2020-06-22	630		30682		8		1177
2020-06-23	1143		31825		9		1186
2020-06-24	470		32295		18		1204
2020-06-25	774		33069		8		1212
2020-06-26	1004		34073		12		1224
2020-06-27	730		34803		12		1236
2020-06-28	652		35455		8		1244
2020-06-29	983		36438		11		1255
2020-06-30	1076		37514		11		1266
2020-07-01	997		38511		4		1270
2020-07-02	294		38805		4		1274
2020-07-03	1531		40336		6		1280
2020-07-04	1494		41830		10		1290
2020-07-05	2424		44254		7		1297
2020-07-06	2079		46333		6		1303
2020-07-07	1540		47873		6		1309
2020-07-08	2486		50359		5		1314
2020-07-09	1395		51754		0		1314
2020-07-10	1160		52914		46		1360
2020-07-11	1308		54222		12		1372
2020-07-12	2037		56259		162		1534
